benchmark,harness,outcome,metric,trajectory_records,missing,count,mean,median,std,min,p25,p75,max
HLE,OpenClaw,failure,action_event_count,509,0,509,139.550098,40.000000,184.151460,1.000000,25.000000,198.000000,971.000000
HLE,OpenClaw,failure,tool_call_count,509,0,509,10.909627,0.000000,31.508562,0.000000,0.000000,2.000000,210.000000
HLE,OpenClaw,success,mean_entropy,79,0,79,0.341572,0.358383,0.114743,0.109243,0.236457,0.406583,0.598970
HLE,OpenClaw,success,max_entropy,79,0,79,2.435975,2.457641,0.146721,2.123967,2.330585,2.553067,2.756290
HLE,OpenClaw,success,p50_entropy,79,0,79,0.084539,0.039928,0.101365,0.000607,0.006205,0.121607,0.421701
HLE,OpenClaw,success,p90_entropy,79,0,79,1.084336,1.130922,0.251275,0.414000,0.875798,1.263910,1.607553
HLE,OpenClaw,success,n_tokens,79,0,79,2604.936709,1882.000000,1948.728039,534.000000,1320.000000,3171.000000,9729.000000
HLE,OpenClaw,success,wall_time_sec,79,0,79,191.713595,113.683912,233.840580,22.223172,69.353160,212.402925,1652.898549
HLE,OpenClaw,success,action_event_count,79,0,79,54.582278,34.000000,54.616409,8.000000,26.000000,54.000000,247.000000
HLE,OpenClaw,success,tool_call_count,79,0,79,3.189873,0.000000,7.523930,0.000000,0.000000,2.500000,46.000000
HLE,OpenClaw,unknown,mean_entropy,3,0,3,0.161178,0.058286,0.155869,0.043797,0.051041,0.219869,0.381452
HLE,OpenClaw,unknown,max_entropy,3,0,3,2.422289,2.379521,0.091587,2.337793,2.358657,2.464537,2.549553
HLE,OpenClaw,unknown,p50_entropy,3,0,3,0.033308,0.000621,0.046615,0.000073,0.000347,0.049926,0.099231
HLE,OpenClaw,unknown,p90_entropy,3,0,3,0.392113,0.023895,0.526360,0.015961,0.019928,0.580190,1.136485
HLE,OpenClaw,unknown,n_tokens,3,0,3,12686.666667,11574.000000,9438.074710,1724.000000,6649.000000,18168.000000,24762.000000
HLE,OpenClaw,unknown,wall_time_sec,3,0,3,632.952903,900.404606,378.854953,97.171330,498.787968,900.843690,901.282774
HLE,OpenClaw,unknown,action_event_count,3,0,3,154.333333,59.000000,157.252098,28.000000,43.500000,217.500000,376.000000
HLE,OpenClaw,unknown,tool_call_count,3,0,3,21.666667,6.000000,26.512052,0.000000,3.000000,32.500000,59.000000
HLE,OpenCode,failure,mean_entropy,508,0,508,0.331745,0.386261,0.180032,0.004220,0.189904,0.457929,0.732978
HLE,OpenCode,failure,max_entropy,508,0,508,2.513702,2.534452,0.175234,1.789295,2.419797,2.638681,2.841904
HLE,OpenCode,failure,p50_entropy,508,0,508,0.104139,0.065073,0.117795,0.000018,0.002863,0.166043,0.612073
HLE,OpenCode,failure,p90_entropy,508,0,508,0.983563,1.216786,0.544373,0.001336,0.730864,1.350316,1.789162
HLE,OpenCode,failure,n_tokens,508,0,508,7377.848425,1247.500000,12662.144675,176.000000,863.250000,3211.000000,44470.000000
HLE,OpenCode,failure,wall_time_sec,508,0,508,773.062802,210.960443,943.768273,26.837780,115.726548,1201.679534,2408.955666
HLE,OpenCode,failure,action_event_count,508,0,508,163.625984,56.000000,325.484100,7.000000,42.000000,144.000000,5609.000000
HLE,OpenCode,failure,tool_call_count,508,0,508,3.673228,0.000000,18.273607,0.000000,0.000000,0.000000,229.000000
HLE,OpenCode,success,mean_entropy,82,0,82,0.419434,0.417058,0.108293,0.141325,0.353061,0.488961,0.736947
HLE,OpenCode,success,max_entropy,82,0,82,2.519882,2.517094,0.161905,1.931453,2.425662,2.633433,2.847971
HLE,OpenCode,success,p50_entropy,82,0,82,0.138591,0.109197,0.124388,0.000657,0.036166,0.215172,0.621807
HLE,OpenCode,success,p90_entropy,82,0,82,1.262130,1.287303,0.221468,0.600340,1.183857,1.400793,1.742030
HLE,OpenCode,success,n_tokens,82,0,82,1465.695122,1171.500000,1138.605552,414.000000,937.250000,1499.000000,8599.000000
