benchmark,harness,outcome,metric,trajectory_records,missing,count,mean,median,std,min,p25,p75,max
HLE,OpenCode,failure,tool_call_count,449,0,449,11.527840,2.000000,34.937357,0.000000,0.000000,5.000000,285.000000
HLE,OpenCode,success,mean_entropy,142,0,142,0.233434,0.230098,0.079619,0.078087,0.163533,0.292839,0.441198
HLE,OpenCode,success,max_entropy,142,0,142,2.454552,2.461982,0.137746,2.098521,2.361902,2.554852,2.817911
HLE,OpenCode,success,p50_entropy,142,0,142,0.011279,0.000844,0.022064,0.000003,0.000106,0.010155,0.142608
HLE,OpenCode,success,p90_entropy,142,0,142,0.841586,0.850082,0.218275,0.122594,0.681875,0.996773,1.307247
HLE,OpenCode,success,n_tokens,142,0,142,8532.725352,6860.500000,7040.868467,640.000000,3779.500000,11130.750000,45670.000000
HLE,OpenCode,success,wall_time_sec,142,0,142,388.778496,311.692041,345.518994,30.076791,156.046744,468.336218,2455.396010
HLE,OpenCode,success,action_event_count,142,0,142,18.471831,15.500000,12.644485,3.000000,12.000000,21.000000,91.000000
HLE,OpenCode,success,tool_call_count,142,0,142,4.147887,1.000000,10.204216,0.000000,0.000000,3.750000,87.000000
HLE,ZeroClaw,failure,mean_entropy,419,0,419,0.269975,0.282835,0.096182,0.000000,0.215109,0.341518,0.442556
HLE,ZeroClaw,failure,max_entropy,419,0,419,2.502648,2.529084,0.279820,0.000000,2.442446,2.617601,2.873997
HLE,ZeroClaw,failure,p50_entropy,419,0,419,0.019948,0.004929,0.030444,0.000000,0.000269,0.026587,0.166785
HLE,ZeroClaw,failure,p90_entropy,419,0,419,0.930071,1.005003,0.283038,0.000000,0.813220,1.117911,1.361804
HLE,ZeroClaw,failure,n_tokens,419,4,415,10978.607229,5823.000000,19207.678485,412.000000,3004.500000,11718.000000,135005.000000
HLE,ZeroClaw,failure,wall_time_sec,419,0,419,655.931491,295.246102,1144.908117,32.115494,144.328691,575.228531,9313.059148
HLE,ZeroClaw,failure,action_event_count,419,0,419,20.510740,9.000000,171.568468,1.000000,7.000000,13.000000,3519.000000
HLE,ZeroClaw,failure,tool_call_count,419,0,419,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
HLE,ZeroClaw,success,mean_entropy,172,0,172,0.255168,0.246933,0.086396,0.072499,0.189288,0.318066,0.470623
HLE,ZeroClaw,success,max_entropy,172,0,172,2.511158,2.512423,0.140327,1.854944,2.436641,2.606387,2.826034
HLE,ZeroClaw,success,p50_entropy,172,0,172,0.015818,0.001314,0.030680,0.000002,0.000330,0.013288,0.169909
HLE,ZeroClaw,success,p90_entropy,172,0,172,0.898452,0.915806,0.238332,0.135169,0.728454,1.064745,1.385363
HLE,ZeroClaw,success,n_tokens,172,0,172,9265.825581,6954.000000,7494.824059,899.000000,3908.000000,12711.750000,44273.000000
