model,harness,benchmark,task_id,sample,correct,mean_entropy,n_tokens
Gemma4-31B,directllm,GPQA,gpqa_99,0,1,0.2575247157579407,3502
Gemma4-31B,directllm,HLE,hle_1,0,0,0.29515995647919807,1699
Gemma4-31B,directllm,HLE,hle_1008,0,0,0.2822956387742963,9882
Gemma4-31B,directllm,HLE,hle_1009,0,1,0.4674068597845354,3380
Gemma4-31B,directllm,HLE,hle_1012,0,0,0.2987623106987024,8157
Gemma4-31B,directllm,HLE,hle_1019,0,0,0.3317984923007778,3008
Gemma4-31B,directllm,HLE,hle_1021,0,1,0.21430635204992876,3127
Gemma4-31B,directllm,HLE,hle_1022,0,0,0.3591522957232148,3311
Gemma4-31B,directllm,HLE,hle_1023,0,0,0.11369485378309467,23023
Gemma4-31B,directllm,HLE,hle_1024,0,0,0.024478638525663555,71798
Gemma4-31B,directllm,HLE,hle_1031,0,0,0.17898199955945723,5690
Gemma4-31B,directllm,HLE,hle_1038,0,0,0.24002287375818043,2997
Gemma4-31B,directllm,HLE,hle_1045,0,0,0.10448103313703812,16544
Gemma4-31B,directllm,HLE,hle_1046,0,0,0.2389075039386895,5508
Gemma4-31B,directllm,HLE,hle_1047,0,0,0.11283462951867403,3949
Gemma4-31B,directllm,HLE,hle_1048,0,0,0.12657641879148396,11831
Gemma4-31B,directllm,HLE,hle_1049,0,0,0.1307850601070956,14151
Gemma4-31B,directllm,HLE,hle_1050,0,0,0.1322770778162212,6282
Gemma4-31B,directllm,HLE,hle_1051,0,1,0.07890260744209214,9160
Gemma4-31B,directllm,HLE,hle_1052,0,0,0.15523990493971124,10843
Gemma4-31B,directllm,HLE,hle_1054,0,0,0.20831816970736464,8177
Gemma4-31B,directllm,HLE,hle_1055,0,0,0.3461500679453958,6426
Gemma4-31B,directllm,HLE,hle_1056,0,0,0.19802968863846374,7903
Gemma4-31B,directllm,HLE,hle_1057,0,0,0.11383792574291307,8010
Gemma4-31B,directllm,HLE,hle_1058,0,0,0.005341039455883904,68370
Gemma4-31B,directllm,HLE,hle_1066,0,0,0.3670548215128305,1301
Gemma4-31B,directllm,HLE,hle_1067,0,1,0.21417549114570827,8667
Gemma4-31B,directllm,HLE,hle_1070,0,0,0.26304617679981557,8521
Gemma4-31B,directllm,HLE,hle_1071,0,0,0.30985068868331717,3362
Gemma4-31B,directllm,HLE,hle_1073,0,0,0.005303603166991376,68691
